"147093","occ","","","12977","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Maastrichtian","","72.1","66","4306"
"148500","occ","13664","","13105","n. gen. Sonorasaurus n. sp. thompsoni","species","68170","","Sonorasaurus thompsoni","species","68170","Late Albian","Early Cenomanian","105.3","93.5","14864"
"148510","occ","21292","","13106","Gaviiformes indet.","order","39706","","Gaviiformes","order","39706","Late Maastrichtian","","70.6","66","29037"
"148628","occ","","","13108","Mononykus olecranus","species","67288","","Mononykus olecranus","species","67287","Maastrichtian","","72.1","66","4373"
"148629","occ","","","13108","Tarbosaurus bataar","species","57254","","Tarbosaurus bataar","species","63705","Maastrichtian","","72.1","66","4373"
"148633","occ","","","13110","Dinosauria indet.","unranked clade","52775","","Dinosauria","unranked clade","52775","Cretaceous","","145","66","4374"
"149328","occ","","","13142","Coeluridae ? indet.","family","53001","","Coeluridae","family","53001","Maastrichtian","","72.1","66","4381"
"149585","occ","13173","","13209","Titanosauridae indet.","family","38680","","Titanosauridae","family","38680","Campanian","","83.6","72.1","13712"
"149586","occ","11815","","13210","Carnosauria indet.","unranked clade","53943","","Carnosauria","unranked clade","53943","Maastrichtian","Early Maastrichtian","72.1","66","55175"
"149592","occ","","","13212","n. gen. Creosaurus n. sp. atrox","species","52970","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","7813"
"149596","occ","","","13214","Creosaurus atrox","species","52970","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387"
"149597","occ","","","13214","Allosaurus fragilis","species","52962","","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387"
