Species	Status
Ankylosaurus_magniventris	extinct
Anodontosaurus_lambei	extinct
Anomalopteryx_didiformis	extinct
Anomoepodidae	extinct
Anomoepus	extinct
Anomoepus_crassus	extinct
Anomoepus_cuneatus	extinct
Anomoepus_curvatus	extinct
Anomoepus_dodai	extinct
Anomoepus_fringilla	extinct
Anomoepus_gracillimus	extinct
Anomoepus_intermedius	extinct
Anomoepus_isodactylus	extinct
Anomoepus_longicauda	extinct
Anomoepus_minimus	extinct
Anomoepus_minor	extinct
Anomoepus_minutus	extinct
Anomoepus_natatilis	extinct
Anomoepus_natator	extinct
Anomoepus_palmipes	extinct
Anomoepus_pienkovskii	extinct
Anomoepus_scambus	extinct
Anomoepus_tungchuanensis	extinct
Anomoepus_turda	extinct
Anomoepus_vermivorus	extinct
Anoplosaurus_curtonotus	extinct
Anser	extinct
Anser_albifrons	extinct
Anser_arizonae	extinct
Anser_condoni	extinct
Anseranas	extinct
Anseriformes	extinct
Anserimimus_planinychus	extinct
Anserinae	extinct
Anserini	extinct
Antarctopelta_oliveroi	extinct
Antarctosaurus	extinct
Antarctosaurus_giganteus	extinct
Antarctosaurus_wichmannianus	extinct
Antetonitrus_ingenipes	extinct
Anthochaera_carunculata	extinct
Anthochaera_chrysoptera	extinct
Anthornis_melanura	extinct
Anthropodyptes_gilli	extinct
Anthropornis	extinct
Anthropornis_grandis	extinct
Anthropornis_nordenskjoeldi	extinct
Anticheiropus_hamatus	extinct
Anticheiropus_pilulatus	extinct
Anzu_wyliei	extinct
Aoniraptor_libertatem	extinct
Aorun_zhaoi	extinct
Apatichnus_circumagens	extinct
Apatoraptor_pennatus	extinct
Apatornis_celer	extinct
Apatosaurinae	extinct
Apatosaurus	extinct
Apatosaurus_ajax	extinct
Apatosaurus_louisae	extinct
Aphelocoma	extinct
Aphelocoma_coerulescens	extinct
Apodidae	extinct
Appalachiosaurus_montgomeriensis	extinct
Apsaravis_ukhaana	extinct
Aptenodytes	extinct
Aptenodytes_ridgeni	extinct
Apteribis	extinct
Apteribis_brevis	extinct
Apteribis_glenos	extinct
Apteryx	extinct
Aptornis	extinct
Aptornis_proasciarostratus	extinct
Apulosauripus_federicianus	extinct
Apus	extinct
Aquatilavipes	extinct
Aquatilavipes_curriei	extinct
Aquatilavipes_izumiensis	extinct
Aquatilavipes_swiboldae	extinct
Aquila	extinct
Aquila_bivia	extinct
Aquila_chrysaetos	extinct
Aquila_pliogryps	extinct
Aquila_sodalis	extinct
Aquilops_americanus	extinct
Aragosaurus_ischiaticus	extinct
Aralosaurus_tuberiferus	extinct
Aramidae	extinct
Aramornis_longurio	extinct
Aramus	extinct
Archaeoceratops_oshimai	extinct
Archaeoceratops_yujingziensis	extinct
Archaeocycnus_lacustris	extinct
Archaeodontosaurus_descouensi	extinct
Archaeopterygiformes	extinct
Archaeopteryx	extinct
Archaeopteryx_lithographica	extinct
Archaeorhynchus_spathula	extinct
Archaeornithipus_meijidei	extinct
Archaeornithoides_deinosauriscus	extinct
Archaeornithomimus_asiaticus	extinct
Archaeornithomimus_bissektensis	extinct
Archaeornithura_meemannae	extinct
Archaeospheniscus	extinct
Archaeospheniscus_lopdelli	extinct
Archaeospheniscus_lowei	extinct
Archaeospheniscus_wimani	extinct
Archaeotrogon_venustus	extinct
Archaeovolans_repatriatus	extinct
Arcovenator_escotae	extinct
Arcusaurus_pereirabdalorum	extinct
Ardea	extinct
Ardea_cinerea	extinct
Ardea_herodias	extinct
Ardea_paloccidentalis	extinct
Ardea_polkensis	extinct
Ardeidae	extinct
Ardeola	extinct
Arenaria	extinct
Arenaria_interpres	extinct
