"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1186256","occ","","","152599","Pluvialis dominica","species","186247","Pleistocene","","2.588","0.0117","15259"
"1186257","occ","","","152599","Pluvialis squatarola","species","83475","Pleistocene","","2.588","0.0117","15259"
"1186258","occ","","","152599","Charadrius semipalmatus","species","335305","Pleistocene","","2.588","0.0117","15259"
"1186259","occ","","","152599","Tringa","genus","83482","Pleistocene","","2.588","0.0117","15259"
"1186260","occ","","","152599","Totanus","genus","39583","Pleistocene","","2.588","0.0117","15259"
"1186261","occ","","","152599","Totanus","genus","39583","Pleistocene","","2.588","0.0117","15259"
"1186262","occ","","","152599","Catoptrophorus semipalmatus","species","129794","Pleistocene","","2.588","0.0117","15259"
"1186263","occ","","","152599","Calidris","genus","83484","Pleistocene","","2.588","0.0117","15259"
"1186264","occ","","","152599","Erolia","genus","129796","Pleistocene","","2.588","0.0117","15259"
"1186265","occ","","","152599","Ereunetes","genus","290671","Pleistocene","","2.588","0.0117","15259"
"1186266","occ","","","152599","Ereunetes","genus","290671","Pleistocene","","2.588","0.0117","15259"
"1186267","occ","","","152599","Micropalama","genus","289789","Pleistocene","","2.588","0.0117","15259"
"1186268","occ","","","152599","Bartramia longicauda","species","129791","Pleistocene","","2.588","0.0117","15259"
"1186269","occ","","","152599","Numenius","genus","83476","Pleistocene","","2.588","0.0117","15259"
"1186270","occ","","","152599","Limosa","genus","210450","Pleistocene","","2.588","0.0117","15259"
"1186271","occ","","","152599","Arenaria interpres","species","186395","Pleistocene","","2.588","0.0117","15259"
"1186272","occ","","","152599","Himantopus","genus","336069","Pleistocene","","2.588","0.0117","15259"
"1186273","occ","","","152599","Phalaropus","genus","36647","Pleistocene","","2.588","0.0117","15259"
"1186275","occ","","","152599","Steganopus","genus","289793","Pleistocene","","2.588","0.0117","15259"
"1186276","occ","","","152599","Thinocorus","genus","289795","Pleistocene","","2.588","0.0117","15259"
"1186277","occ","","","152599","Larus","genus","36644","Pleistocene","","2.588","0.0117","15259"
"1186279","occ","","","152599","Zenaida","genus","161741","Pleistocene","","2.588","0.0117","15259"
"1186280","occ","","","152599","Tyto alba","species","94500","Pleistocene","","2.588","0.0117","15259"
"1186503","occ","","","152113","Podilymbus podiceps","species","133770","Holocene","","0.0117","0","48812"
"1186504","occ","","","152113","Anas platyrhynchos","species","83434","Holocene","","0.0117","0","48812"
"1186533","occ","","","152653","Podilymbus podiceps","species","133770","Pleistocene","","2.588","0.0117","48812"
"1186534","occ","","","152653","Podiceps","genus","39553","Pleistocene","","2.588","0.0117","48812"
"1186536","occ","","","152653","Buteo","genus","39325","Pleistocene","","2.588","0.0117","48812"
"1186537","occ","","","152653","Aquila","genus","94488","Pleistocene","","2.588","0.0117","48812"
"1186538","occ","","","152653","Falco sparverius","species","133779","Pleistocene","","2.588","0.0117","48812"
"1186539","occ","","","152653","Falco","genus","39319","Pleistocene","","2.588","0.0117","48812"
"1186543","occ","","","152653","Porzana","genus","94495","Pleistocene","","2.588","0.0117","48812"
"1186544","occ","","","152653","Numenius","genus","83476","Pleistocene","","2.588","0.0117","48812"
"1186545","occ","","","152653","Phalaropus","genus","36647","Pleistocene","","2.588","0.0117","48812"
"1186546","occ","","","152653","Larus","genus","36644","Pleistocene","","2.588","0.0117","48812"
"1186547","occ","","","152653","Bubo virginianus","species","161526","Pleistocene","","2.588","0.0117","48812"
"1186549","occ","","","152653","Asio","genus","161528","Pleistocene","","2.588","0.0117","48812"
"1186550","occ","","","152653","Picoides villosus","species","133786","Pleistocene","","2.588","0.0117","48812"
"1186551","occ","","","152653","Colaptes auratus","species","129807","Pleistocene","","2.588","0.0117","48812"
"1186552","occ","","","152653","Corvus brachyrhynchos","species","289720","Pleistocene","","2.588","0.0117","48812"
"1186553","occ","","","152653","Corvus corax","species","133788","Pleistocene","","2.588","0.0117","48812"
"1186554","occ","","","152653","Chondestes grammacus","species","289531","Pleistocene","","2.588","0.0117","48812"
"1186555","occ","","","152653","Melospiza","genus","129853","Pleistocene","","2.588","0.0117","48812"
"1186556","occ","","","152653","Zonotrichia leucophrys","species","335312","Pleistocene","","2.588","0.0117","48812"
"1186557","occ","","","152653","Zonotrichia","genus","129849","Pleistocene","","2.588","0.0117","48812"
"1186558","occ","","","152653","Junco hyemalis","species","289535","Pleistocene","","2.588","0.0117","48812"
"1186563","occ","","","152653","Carpodacus","genus","130728","Pleistocene","","2.588","0.0117","48812"
"1186564","occ","","","152653","Anas","genus","67686","Pleistocene","","2.588","0.0117","48812"
"1186565","occ","","","152653","Rallus limicola","species","336068","Pleistocene","","2.588","0.0117","48812"
"1186566","occ","","","152653","Pica","genus","93747","Pleistocene","","2.588","0.0117","48812"
"1186567","occ","","","152653","Anser","genus","83424","Pleistocene","","2.588","0.0117","48812"
"1186569","occ","","","152653","Sitta","genus","39449","Pleistocene","","2.588","0.0117","48812"
"1186570","occ","","","152653","Sitta","genus","39449","Pleistocene","","2.588","0.0117","48812"
"1186571","occ","","","152653","Agelaius","genus","83664","Pleistocene","","2.588","0.0117","48812"
"1186573","occ","","","152653","Aythya americana","species","321726","Pleistocene","","2.588","0.0117","48812"
"1186575","occ","","","152653","Eremophila alpestris","species","335311","Pleistocene","","2.588","0.0117","48812"
"1186576","occ","","","152653","Tachycineta","genus","290113","Pleistocene","","2.588","0.0117","48812"
"1186577","occ","","","152653","Spizella","genus","289528","Pleistocene","","2.588","0.0117","48812"
"1187532","occ","","","153339","Nodosauridae","family","38817","Early Albian","","112.03","109","49379"
"1187877","occ","32345","F","153394","Spheroolithus spheroides","species","100397","Late Cretaceous","","100.5","66","49413"
"1187878","occ","","F","153394","Spheroolithus megadermus","species","68506","Late Cretaceous","","100.5","66","49413"
"1187920","occ","","F","153395","Spheroolithus megadermus","species","68506","Late Cretaceous","","100.5","66","49413"
"1187921","occ","","F","153395","Spheroolithus spheroides","species","100397","Late Cretaceous","","100.5","66","49413"
"1187922","occ","","F","153396","Spheroolithus spheroides","species","100397","Late Cretaceous","","100.5","66","49413"
"1187923","occ","","F","153396","Spheroolithus megadermus","species","68506","Late Cretaceous","","100.5","66","49413"
"1187979","occ","","","131870","Dinosauria","unranked clade","52775","Late Campanian","","83.5","70.6","42510"
"1187982","occ","","IF","153397","Deltapodus","genus","81829","Late Tithonian","Valanginian","150.8","132.9","49417"
"1187983","occ","","","153397","Theropoda","unranked clade","38513","Late Tithonian","Valanginian","150.8","132.9","49417"
"1187984","occ","","","153397","Ornithopoda","unranked clade","38713","Late Tithonian","Valanginian","150.8","132.9","49417"
"1187985","occ","","","153397","Sauropoda","unranked clade","38653","Late Tithonian","Valanginian","150.8","132.9","49417"
"1187986","occ","","F","153398","Undulatoolithus pengi","species","285524","Late Cretaceous","","100.5","66","49418"
"1188009","occ","","","151252","Diatryma cotei","species","285527","Lutetian","","47.8","41.3","49420"
"1188017","occ","","","89990","Arcovenator escotae","species","285749","Late Campanian","","83.5","70.6","49429"
"1188023","occ","","","89990","Nodosauridae","family","38817","Late Campanian","","83.5","70.6","49429"
"1188024","occ","","","89990","Rhabdodon","genus","38753","Late Campanian","","83.5","70.6","49429"
"1188025","occ","31327","","89990","Ampelosaurus atacis","species","65140","Late Campanian","","83.5","70.6","55429"
"1189694","occ","","","57894","Torvosaurus tanneri","species","53375","Kimmeridgian","Tithonian","157.3","145","49550"
"1189695","occ","","","57894","Camarasaurus","genus","38697","Kimmeridgian","Tithonian","157.3","145","49550"
"1189696","occ","","","57894","Stegosaurus","genus","38814","Kimmeridgian","Tithonian","157.3","145","49550"
"1189697","occ","","","126540","Apatosaurus","genus","38665","Late Oxfordian","Early Kimmeridgian","161.2","150.8","49550"
"1189698","occ","","","126540","Barosaurus","genus","38666","Late Oxfordian","Early Kimmeridgian","161.2","150.8","49550"
"1189699","occ","","","126540","Diplodocus","genus","38669","Late Oxfordian","Early Kimmeridgian","161.2","150.8","49550"
"1189704","occ","","","153475","Zalmoxes shqiperorum","species","66744","Late Campanian","Early Maastrichtian","83.5","66","49557"
"1189855","occ","","","153482","Zalmoxes robustus","species","66741","Late Campanian","","83.5","70.6","49557"
"1189857","occ","","","115004","Zalmoxes","genus","66740","Early Maastrichtian","","70.6","66","49557"
