"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"41524","occ","","","3257","Aves","class","36616","Early Eocene","Middle Eocene","55.8","37.2","149"
"41580","occ","","","3256","Aves","class","36616","Early Eocene","Middle Eocene","55.8","37.2","149"
"130209","occ","","","10755","Chaoyangsaurus youngi","species","55580","Late Tithonian","Valanginian","150.8","132.9","13360"
"130294","occ","","","10764","Protarchaeopteryx robusta","species","66068","Late Barremian","Early Aptian","130","122.46","4006"
"130295","occ","","","10764","Caudipteryx zoui","species","66066","Late Barremian","Early Aptian","130","122.46","19421"
"137486","occ","","","11582","Theropoda","unranked clade","38513","Campanian","Maastrichtian","83.6","66","59136"
"138867","occ","","","22634","Dinosauria","unranked clade","52775","Berriasian","Aptian","145","113","4203"
"139242","occ","24752","","11890","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","13165"
"139249","occ","","","11892","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","16964"
"139250","occ","23301","","11893","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205"
"139251","occ","","","11894","Centrosaurus apertus","species","63911","Late Campanian","","83.5","70.6","16964"
"139252","occ","23302","","11895","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205"
"139253","occ","18699","","11896","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205"
"139254","occ","13634","","11897","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","17547"
"139255","occ","18015","","11898","Albertosaurus sarcophagus","species","56319","Maastrichtian","","72.1","66","9259"
"139256","occ","30781","","11899","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","4205"
"139257","occ","","","11900","Albertosaurus sarcophagus","species","56319","Late Campanian","","83.5","70.6","12347"
"139258","occ","18014","","11901","Albertosaurus sarcophagus","species","56319","Late Campanian","","83.5","70.6","9259"
"139259","occ","","","11902","Albertosaurus sarcophagus","species","56319","Late Campanian","","83.5","70.6","4205"
"139260","occ","23238","","11604","Isisaurus colberti","species","64311","Maastrichtian","","72.1","66","4177"
"139261","occ","","","11903","Daspletosaurus torosus","species","57258","Late Campanian","","83.5","70.6","4205"
"139262","occ","","","11904","Daspletosaurus torosus","species","57258","Late Campanian","","83.5","70.6","4205"
"139290","occ","23303","","11915","Daspletosaurus torosus","species","57258","Middle Campanian","","83.5","70.6","4205"
"139291","occ","30120","","11916","Albertosaurus","genus","38607","Early Maastrichtian","","70.6","66","51906"
"139292","occ","22878","","11917","Tyrannosaurus rex","species","54833","Maastrichtian","","72.1","66","4218"
"139293","occ","","","11918","Tyrannosaurus rex","species","54833","Maastrichtian","","72.1","66","4205"
"139294","occ","32334","","11919","Gryposaurus notabilis","species","63251","Late Campanian","","83.5","70.6","59147"
"139295","occ","25241","","11920","Theropoda","unranked clade","38513","Hettangian","Sinemurian","201.3","190.8","36780"
"139306","occ","","","11923","Amygdalodon patagonicus","species","66447","Late Toarcian","Early Aalenian","180.1","171.6","4208"
"139307","occ","","","11924","Camarasaurus supremus","species","54168","Kimmeridgian","Tithonian","157.3","145","4209"
"139308","occ","","","11925","Camarasaurus supremus","species","54168","Kimmeridgian","","157.3","152.1","4209"
"139340","occ","","","11931","Ankylosaurus magniventris","species","52793","Maastrichtian","","72.1","66","4210"
"139341","occ","13412","","11932","Titanosauriformes","unranked clade","57468","Late Aptian","Early Albian","122.46","109","14253"
"144305","occ","","","10760","Dromaeosauridae","family","38561","Late Maastrichtian","","70.6","66","4002"
"144307","occ","22890","","12584","Bistahieversor sealeyi","species","163808","Late Campanian","","83.5","70.6","32137"
"144308","occ","","","12585","Theropoda","unranked clade","38513","Puaroan","","148.5","145","4249"
"146081","occ","","","12855","Coelurosauria","suborder","53940","Maastrichtian","","72.1","66","19317"
"147092","occ","","","12977","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","4306"
"147093","occ","","","12977","Hadrosauridae","family","38755","Maastrichtian","","72.1","66","4306"
"148500","occ","13664","","13105","Sonorasaurus thompsoni","species","68170","Late Albian","Early Cenomanian","105.3","93.5","14864"
"148510","occ","21292","","13106","Gaviiformes","order","39706","Late Maastrichtian","","70.6","66","29037"
"148628","occ","","","13108","Mononykus olecranus","species","67287","Maastrichtian","","72.1","66","4373"
"148629","occ","","","13108","Tarbosaurus bataar","species","63705","Maastrichtian","","72.1","66","4373"
"148633","occ","","","13110","Dinosauria","unranked clade","52775","Cretaceous","","145","66","4374"
"149328","occ","","","13142","Coeluridae","family","53001","Maastrichtian","","72.1","66","4381"
"149585","occ","13173","","13209","Titanosauridae","family","38680","Campanian","","83.6","72.1","13712"
"149586","occ","11815","","13210","Carnosauria","unranked clade","53943","Maastrichtian","Early Maastrichtian","72.1","66","55175"
"149592","occ","","","13212","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","7813"
"149596","occ","","","13214","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387"
"149597","occ","","","13214","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387"
"149598","occ","","","13214","Diplodocus","genus","38669","Kimmeridgian","Tithonian","157.3","145","4387"
"149599","occ","","","13214","Stegosaurus","genus","38814","Kimmeridgian","Tithonian","157.3","145","4387"
"149600","occ","","","13214","Camarasaurus grandis","species","52961","Kimmeridgian","Tithonian","157.3","145","52556"
"149601","occ","","","13214","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387"
"149611","occ","31720","","13218","Hadrosauroidea","superfamily","52811","Late Maastrichtian","","70.6","66","56054"
"149834","occ","","","13263","Theropoda","unranked clade","38513","Rhaetian","Hettangian","208.5","199.3","4395"
"149835","occ","","","13264","Ornimegalonyx oteroi","species","290147","Pleistocene","","2.588","0.0117","4396"
"149854","occ","","","13267","Ornithopoda","unranked clade","38713","Late Barremian","Early Aptian","130","122.46","4397"
"149859","occ","19729","","13268","Theropoda","unranked clade","38513","Late Barremian","Early Aptian","130","122.46","14199"
"149860","occ","","","13268","Hypsilophodon","genus","38736","Late Barremian","Early Aptian","130","122.46","4398"
"149981","occ","","","13279","Scutellosaurus lawleri","species","67088","Sinemurian","Pliensbachian","199.3","182.7","4405"
"149982","occ","","","13280","Scutellosaurus lawleri","species","67088","Sinemurian","Pliensbachian","199.3","182.7","4405"
"149983","occ","10063","","13281","Orodromeus makelai","species","64338","Campanian","","83.6","72.1","7404"
"149984","occ","","","13282","Maiasaura peeblesorum","species","55574","Campanian","","83.6","72.1","4406"
"149987","occ","","","13284","Goyocephale lattimorei","species","52838","Santonian","Maastrichtian","86.3","66","4408"
"149988","occ","19972","","13285","Efraasia minor","species","54997","Norian","","228","208.5","19481"
"149989","occ","22651","","13286","Tethyshadros insularis","species","161198","Late Campanian","Early Maastrichtian","83.5","66","31507"
"150084","occ","","","13294","Dinosauria","unranked clade","52775","Late Maastrichtian","Tertiary","70.6","2.588","4413"
"150093","occ","","","18597","Anhinga subvolans","species","53350","Hemingfordian","","20.43","15.97","4414"
"150094","occ","","","18597","Promilio floridanus","species","53301","Hemingfordian","","20.43","15.97","4414"
"150133","occ","","","13296","Buteo fluviaticus","species","100015","Orellan","","33.9","33.3","4415"
"150134","occ","","","13297","Hadrogyps aigialeus","species","53351","Langhian","","15.97","13.82","4416"
"150135","occ","","","13298","Primapus lacki","species","53337","Ypresian","","56","47.8","4417"
"150136","occ","","","13299","Primapus lacki","species","53337","Ypresian","","56","47.8","4417"
"150137","occ","","","13300","Miomancalla wetmorei","species","145757","Messinian","Zanclean","7.246","3.6","4418"
"150138","occ","","","13301","Ichthyornis dispar","species","54877","Early Coniacian","Early Campanian","89.3","70.6","4419"
"150139","occ","","","13301","Hesperornis","genus","36620","Early Coniacian","Early Campanian","89.3","70.6","4419"
"150155","occ","","","13309","Neogaeornis wetzeli","species","53321","Late Maastrichtian","","70.6","66","6052"
"150156","occ","","","13312","Alexornis antecedens","species","53319","Santonian","","86.3","83.6","4423"
"150157","occ","","","13306","Yacoraitichnus avis","species","58867","Maastrichtian","","72.1","66","6049"
"150158","occ","","IF","13308","Patagonichnornis venetiorum","species","53322","Late Maastrichtian","","70.6","66","6051"
"150159","occ","","","13313","Emuarius gidju","species","53358","Late Oligocene","Early Miocene","28.4","15.97","4424"
"150160","occ","","","13314","Dromaius","genus","173845","Middle Miocene","","15.97","11.608","4424"
"150161","occ","","","13315","Dromaius","genus","173845","Late Miocene","","11.608","5.333","4424"
"150162","occ","","","13316","Dromaius ocypus","species","53357","Pliocene","","5.333","2.588","4424"
"150163","occ","","","13317","Dromaius novaehollandiae","species","164088","Late Pliocene","Early Pleistocene","3.6","0.781","4424"
"150164","occ","","","13317","Dromaius","genus","173845","Late Pliocene","Early Pleistocene","3.6","0.781","4424"
"150165","occ","","","13316","Dromaius ocypus","species","53357","Pliocene","","5.333","2.588","4424"
"150166","occ","","","13318","Dromaius novaehollandiae","species","164088","Early Pliocene","Middle Pleistocene","5.333","0.126","4424"
"150167","occ","","","13319","Dromaius","genus","173845","Pliocene","Quaternary","5.333","0","4424"
"150168","occ","","","13320","Lithornis vulturinus","species","246687","Early Eocene","","55.8","48.6","4416"
"150169","occ","","","13321","Paracathartes howardae","species","246699","Early Eocene","","55.8","48.6","4416"
"150170","occ","","","13322","Eocathartes robustus","species","53325","Lutetian","","47.8","41.3","4416"
"150171","occ","","","13323","Neocathartes grallator","species","349768","Late Eocene","","37.2","33.9","4416"
"150172","occ","","","13324","Diatropornis","genus","53328","Late Eocene","Early Oligocene","37.2","28.4","4416"
"150173","occ","","","13325","Plesiocathartes","genus","39650","Late Eocene","Early Oligocene","37.2","28.4","4416"
"150174","occ","26032","","13326","Massospondylus carinatus","species","56595","Hettangian","Sinemurian","201.3","190.8","38488"
"150175","occ","","","13326","Massospondylus","genus","38642","Hettangian","Sinemurian","201.3","190.8","4425"
"150238","occ","","IF","13331","Megaloolithus siruguei","species","67202","Late Maastrichtian","","70.6","66","36723"
"150239","occ","","","13332","Titanosauridae","family","38680","Maastrichtian","","72.1","66","5968"
"150240","occ","15707","","13333","Amargasaurus cazaui","species","53962","Barremian","Early Aptian","129.4","122.46","5970"
"150241","occ","25326","","13334","Telmatosaurus transsylvanicus","species","68153","Maastrichtian","","72.1","66","37316"
"150242","occ","22872","","13335","Owenodon","genus","163544","Berriasian","","145","139.8","31500"
"150244","occ","","","13335","Aves","class","36616","Berriasian","","145","139.8","4007"
"150246","occ","23550","","13335","Theropoda","unranked clade","38513","Berriasian","","145","139.8","4007"
"150247","occ","","","13335","Ankylosauria","unranked clade","38816","Berriasian","","145","139.8","4007"
"150248","occ","30609","","13335","Valdosaurus canaliculatus","species","52885","Berriasian","","145","139.8","50241"
"150249","occ","","","13335","Iguanodontia","unranked clade","52805","Berriasian","","145","139.8","14865"
"150255","occ","","","13336","Dinosauria","unranked clade","52775","Early Albian","","112.03","109","5977"
"150309","occ","","","13339","Styracosaurus albertensis","species","56144","Late Campanian","","83.5","70.6","5980"
"150310","occ","","","13340","Centrosaurus apertus","species","63911","Campanian","","83.6","72.1","5980"
"150311","occ","","","13341","Apatosaurus louisae","species","57752","Kimmeridgian","Tithonian","157.3","145","5981"
"150312","occ","","","13342","Dinosauria","unranked clade","52775","Kimmeridgian","","157.3","152.1","5982"
"150313","occ","","I","13343","Hispanosauropus hauboldi","species","68178","Kimmeridgian","","157.3","152.1","5982"
"150314","occ","","I","13342","Hispanosauropus hauboldi","species","68178","Kimmeridgian","","157.3","152.1","5982"
"150318","occ","","","13345","Dinosauria","unranked clade","52775","Berriasian","Albian","145","100.5","5986"
"150324","occ","18464","F","13347","Macroolithus","genus","67183","Early Maastrichtian","","70.6","66","14217"
"150326","occ","17810","F","13349","Macroolithus rugustus","species","67191","Maastrichtian","","72.1","66","17027"
"150327","occ","18458","F","13350","Spheroolithus","genus","67290","Cenomanian","Turonian","100.5","89.8","14217"
"150328","occ","","","13351","Dinosauria","unranked clade","52775","Late Cretaceous","","100.5","66","61563"
"150350","occ","","","13352","Diplodocus carnegii","species","65917","Kimmeridgian","Tithonian","157.3","145","1808"
"150351","occ","28458","","13352","Brontosaurus excelsus","species","52982","Kimmeridgian","Tithonian","157.3","145","46207"
"150352","occ","","","13352","Stegosaurus","genus","38814","Kimmeridgian","Tithonian","157.3","145","1808"
"150353","occ","","","13352","Dinosauria","unranked clade","52775","Kimmeridgian","Tithonian","157.3","145","1808"
"150354","occ","","","13352","Camarasaurus","genus","38697","Kimmeridgian","Tithonian","157.3","145","1808"
"150610","occ","17835","","13366","Ornithopoda","unranked clade","38713","Maastrichtian","","72.1","66","17073"
"150847","occ","","","13305","Patagopteryx deferrariisi","species","68529","Santonian","","86.3","83.6","6047"
"150848","occ","30121","","13305","Neuquenornis volans","species","100989","Santonian","","86.3","83.6","6046"
"150849","occ","","","13409","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.3","182.7","13844"
"150850","occ","","","13410","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.3","182.7","13844"
"150851","occ","18326","","13411","Graciliceratops mongoliensis","species","67674","Cenomanian","Santonian","100.5","83.6","14425"
"150852","occ","","","13411","Ankylosauria","unranked clade","38816","Cenomanian","Santonian","100.5","83.6","6048"
"150853","occ","","","13411","Ornithomimidae","family","38539","Cenomanian","Santonian","100.5","83.6","6048"
"150854","occ","","","13411","Theropoda","unranked clade","38513","Cenomanian","Santonian","100.5","83.6","6048"
"150855","occ","","","13411","Hadrosauridae","family","38755","Cenomanian","Santonian","100.5","83.6","6048"
"154631","occ","","","13738","Aves","class","36616","Holocene","","0.0117","0","6145"
"154974","occ","","","13776","Ankylosauridae","family","38831","Campanian","","83.6","72.1","9899"
"154975","occ","22652","","13777","Bagaceratops rozhdestvenskyi","species","52826","Middle Campanian","","83.5","70.6","6048"
"154986","occ","","","13776","Gobipteryx minuta","species","57334","Campanian","","83.6","72.1","9759"
"212043","occ","","","21294","Aves","class","36616","Calabrian","","1.806","0.781","4454"
"212060","occ","","","21300","Aves","class","36616","Gelasian","","2.588","1.806","4454"
"212166","occ","","","21332","Aves","class","36616","Messinian","Piacenzian","7.246","2.588","4648"
"213455","occ","","","21802","Numida","genus","99148","Piacenzian","","3.6","2.588","4451"
"213553","occ","","","21855","Accipitridae","family","39323","Early Miocene","Middle Miocene","23.03","11.608","4922"
"213563","occ","","","21855","Struthionidae","family","39276","Early Miocene","Middle Miocene","23.03","11.608","4922"
"213564","occ","","","21855","Phasianidae","family","39340","Early Miocene","Middle Miocene","23.03","11.608","4922"
"213633","occ","","","21857","Aves","class","36616","Pleistocene","Holocene","2.588","0","5212"
"213652","occ","","","21858","Struthio camelus","species","223891","Holocene","","0.0117","0","5213"
"213681","occ","","","21861","Struthio camelus","species","223891","Holocene","","0.0117","0","5214"
"213690","occ","","","21862","Columbidae","family","39353","Holocene","","0.0117","0","5216"
"213724","occ","","","21878","Struthio camelus","species","223891","Holocene","","0.0117","0","5222"
"213749","occ","","","21886","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5209"
"213750","occ","","","21886","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5209"
"213751","occ","","","21886","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5209"
"213766","occ","","","21888","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5224"
"213769","occ","","","21888","Phalacrocorax carbo","species","336369","Pleistocene","","2.588","0.0117","5224"
"213770","occ","","","21888","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5224"
"213771","occ","","","21888","Phoenicopterus","genus","39594","Pleistocene","","2.588","0.0117","5224"
"213773","occ","","","21888","Anser albifrons","species","335665","Pleistocene","","2.588","0.0117","5224"
"213774","occ","","","21888","Anser","genus","83424","Pleistocene","","2.588","0.0117","5224"
"213775","occ","","","21888","Branta bernicla","species","83427","Pleistocene","","2.588","0.0117","5224"
"213776","occ","","","21888","Tadorna","genus","39631","Pleistocene","","2.588","0.0117","5224"
"213777","occ","","","21888","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5224"
"213778","occ","","","21888","Anas","genus","67686","Pleistocene","","2.588","0.0117","5224"
"213779","occ","","","21888","Aythya","genus","83440","Pleistocene","","2.588","0.0117","5224"
"213780","occ","","","21888","Mergus merganser","species","336064","Pleistocene","","2.588","0.0117","5224"
"213781","occ","","","21888","Mergus serrator","species","83462","Pleistocene","","2.588","0.0117","5224"
"213782","occ","","","21888","Mergus","genus","39627","Pleistocene","","2.588","0.0117","5224"
"213783","occ","","","21888","Milvus","genus","191573","Pleistocene","","2.588","0.0117","5224"
"213784","occ","","","21888","Pandion","genus","39329","Pleistocene","","2.588","0.0117","5224"
"213785","occ","","","21888","Numenius","genus","83476","Pleistocene","","2.588","0.0117","5224"
"213786","occ","","","21888","Numenius","genus","83476","Pleistocene","","2.588","0.0117","5224"
"213787","occ","","","21888","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5224"
"213795","occ","","","21890","Aquila chrysaetos","species","94489","Pleistocene","","2.588","0.0117","5209"
"213817","occ","","","21892","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5224"
"213818","occ","","","21892","Grus grus","species","105609","Pleistocene","","2.588","0.0117","5224"
"213870","occ","","","21896","Struthio camelus","species","223891","Holocene","","0.0117","0","5227"
"213918","occ","","","21903","Streptopelia","genus","158293","Holocene","","0.0117","0","5230"
"213952","occ","","","21907","Struthio camelus","species","223891","Holocene","","0.0117","0","5221"
"213992","occ","","","21914","Struthio camelus","species","223891","Holocene","","0.0117","0","5213"
"214038","occ","","","21920","Struthio camelus","species","223891","Pleistocene","","2.588","0.0117","5213"
"214097","occ","","","21930","Aves","class","36616","Holocene","","0.0117","0","5240"
"214199","occ","","","21953","Struthio camelus","species","223891","Pleistocene","","2.588","0.0117","5252"
"214202","occ","","","21953","Francolinus","genus","173506","Pleistocene","","2.588","0.0117","5252"
"214277","occ","","","21970","Aves","class","36616","Calabrian","","1.806","0.781","5269"
"214317","occ","","","21973","Struthio","genus","39278","Gelasian","Calabrian","2.588","0.781","4954"
"214330","occ","","","21974","Aves","class","36616","Pleistocene","","2.588","0.0117","4945"
"216772","occ","","","22041","Struthio","genus","39278","Calabrian","","1.806","0.781","4478"
"216773","occ","","","22041","Aves","class","36616","Calabrian","","1.806","0.781","4478"
"216823","occ","","","22064","Struthio","genus","39278","Calabrian","","1.806","0.781","4478"
"216824","occ","","","22064","Aves","class","36616","Calabrian","","1.806","0.781","4478"
"216842","occ","","","22066","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5321"
"216845","occ","","","22068","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5320"
"216894","occ","","","22073","Francolinus","genus","173506","Holocene","","0.0117","0","5324"
"216898","occ","","","22074","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5325"
"216899","occ","","","22074","Francolinus","genus","173506","Pleistocene","Holocene","2.588","0","5325"
"216900","occ","","","22074","Aves","class","36616","Pleistocene","Holocene","2.588","0","5325"
"216903","occ","","","22074","Caprimulgus","genus","124206","Pleistocene","Holocene","2.588","0","5325"
"216904","occ","","","22074","Columba","genus","39354","Pleistocene","Holocene","2.588","0","5325"
"216905","occ","","","22074","Columbidae","family","39353","Pleistocene","Holocene","2.588","0","5325"
"217223","occ","","","22148","Aves","class","36616","Miocene","Pliocene","23.03","2.588","5283"
"217477","occ","","","22188","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5283"
"217575","occ","","","22219","Pelecaniformes","order","36634","Late Miocene","","11.608","5.333","5419"
"217578","occ","","","22219","Dege hendeyi","species","106250","Late Miocene","","11.608","5.333","5419"
"217596","occ","","","22220","Struthio","genus","39278","Miocene","Pliocene","23.03","2.588","5438"
"217620","occ","","","22221","Struthio","genus","39278","Zanclean","","5.333","3.6","5391"
"217621","occ","","","22221","Accipitridae","family","39323","Zanclean","","5.333","3.6","5391"
"217624","occ","","","22221","Aves","class","36616","Zanclean","","5.333","3.6","5391"
"217632","occ","","","22221","Phasianidae","family","39340","Zanclean","","5.333","3.6","5391"
"217637","occ","","","22221","Puffinus","genus","39702","Zanclean","","5.333","3.6","5391"
"217638","occ","","","22221","Anatidae","family","39624","Zanclean","","5.333","3.6","5391"
"217640","occ","","","22221","Passeriformes","order","39441","Zanclean","","5.333","3.6","5391"
"217641","occ","","","22221","Gruidae","family","39499","Zanclean","","5.333","3.6","5391"
"217643","occ","","","22221","Columbidae","family","39353","Zanclean","","5.333","3.6","5391"
"217645","occ","","","22221","Inguza predemersus","species","106296","Zanclean","","5.333","3.6","5391"
"217651","occ","","","22221","Ciconiidae","family","39634","Zanclean","","5.333","3.6","5391"
"217660","occ","","","22221","Pachyptila salax","species","173505","Zanclean","","5.333","3.6","5391"
"217661","occ","","","22221","Procellariiformes","order","36628","Zanclean","","5.333","3.6","5391"
"217662","occ","","","22221","Rallidae","family","39513","Zanclean","","5.333","3.6","5391"
"217670","occ","","","22221","Oceanites zaloscarthmus","species","336378","Zanclean","","5.333","3.6","5391"
"217673","occ","","","22221","Psittaciformes","order","39357","Zanclean","","5.333","3.6","5391"
"217688","occ","","","22222","Aves","class","36616","Zanclean","","5.333","3.6","5423"
"217694","occ","","","22222","Phasianidae","family","39340","Zanclean","","5.333","3.6","5423"
"217704","occ","","","22222","Inguza predemersus","species","106296","Zanclean","","5.333","3.6","5423"
"217711","occ","","","22222","Pachyptila salax","species","173505","Zanclean","","5.333","3.6","5423"
"217716","occ","","","22222","Oceanites zaloscarthmus","species","336378","Zanclean","","5.333","3.6","5423"
"217718","occ","","","22222","Struthio","genus","39278","Zanclean","","5.333","3.6","5423"
"217719","occ","","","22222","Apodidae","family","39423","Zanclean","","5.333","3.6","5423"
"217720","occ","","","22222","Pachyptila","genus","39699","Zanclean","","5.333","3.6","5423"
"217943","occ","","","22236","Anseriformes","order","39620","Tortonian","Piacenzian","11.62","2.588","5448"
"217959","occ","","","22237","Struthio","genus","39278","Late Miocene","Piacenzian","11.608","2.588","8636"
"218056","occ","","","22243","Struthio","genus","39278","Tortonian","Piacenzian","11.62","2.588","8636"
"218283","occ","","","22272","Struthio","genus","39278","Pleistocene","","2.588","0.0117","5569"
"218614","occ","","","22316","Aves","class","36616","Messinian","","7.246","5.333","5560"
"218736","occ","","","22337","Aves","class","36616","Calabrian","","1.806","0.781","5275"
"218789","occ","","","22342","Aves","class","36616","Gelasian","Calabrian","2.588","0.781","4454"
"219055","occ","","","22464","Struthio","genus","39278","Calabrian","","1.806","0.781","4784"
"219061","occ","","","22477","Aves","class","36616","Pliocene","","5.333","2.588","5294"
"219311","occ","","","22506","Anatidae","family","39624","Pliocene","","5.333","2.588","5264"
"219312","occ","","","22506","Aves","class","36616","Pliocene","","5.333","2.588","5264"
"219352","occ","","","22508","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5225"
"219354","occ","","","22508","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5225"
"219355","occ","","","22508","Anser","genus","83424","Pleistocene","","2.588","0.0117","5225"
"219356","occ","","","22508","Tadorna","genus","39631","Pleistocene","","2.588","0.0117","5225"
"219357","occ","","","22508","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5225"
"219358","occ","","","22508","Anas","genus","67686","Pleistocene","","2.588","0.0117","5225"
"219359","occ","","","22508","Aythya","genus","83440","Pleistocene","","2.588","0.0117","5225"
"219360","occ","","","22508","Mergus merganser","species","336064","Pleistocene","","2.588","0.0117","5225"
"219361","occ","","","22508","Pandion","genus","39329","Pleistocene","","2.588","0.0117","5225"
"219362","occ","","","22508","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5225"
"219363","occ","","","22508","Anas","genus","67686","Pleistocene","","2.588","0.0117","5225"
"219382","occ","","","22513","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5225"
"219383","occ","","","22513","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5225"
"219392","occ","","","22516","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5225"
"219430","occ","","","22531","Aquila chrysaetos","species","94489","Pleistocene","","2.588","0.0117","5225"
"219457","occ","","","22536","Anas platyrhynchos","species","83434","Pleistocene","Holocene","2.588","0","5225"
"219467","occ","","","22538","Grus grus","species","105609","Pleistocene","Holocene","2.588","0","5225"
"219473","occ","","","22539","Anser albifrons","species","335665","Pleistocene","Holocene","2.588","0","5225"
"219498","occ","","","22544","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5225"
"219501","occ","","","22544","Phalacrocorax carbo","species","336369","Pleistocene","","2.588","0.0117","5225"
"219502","occ","","","22544","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5225"
"219503","occ","","","22544","Phoenicopterus","genus","39594","Pleistocene","","2.588","0.0117","5225"
"219504","occ","","","22544","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5225"
"219505","occ","","","22544","Anas","genus","67686","Pleistocene","","2.588","0.0117","5225"
"219506","occ","","","22544","Mergus serrator","species","83462","Pleistocene","","2.588","0.0117","5225"
"219507","occ","","","22544","Mergus","genus","39627","Pleistocene","","2.588","0.0117","5225"
"219508","occ","","","22544","Milvus","genus","191573","Pleistocene","","2.588","0.0117","5225"
"219509","occ","","","22544","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5225"
"219511","occ","","","22544","Anas","genus","67686","Pleistocene","","2.588","0.0117","5225"
"219518","occ","","","22545","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5225"
"219520","occ","","","22545","Phalacrocorax carbo","species","336369","Pleistocene","","2.588","0.0117","5225"
"219521","occ","","","22545","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5225"
"219522","occ","","","22545","Anser albifrons","species","335665","Pleistocene","","2.588","0.0117","5225"
"219523","occ","","","22545","Tadorna","genus","39631","Pleistocene","","2.588","0.0117","5225"
"219524","occ","","","22545","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5225"
"219525","occ","","","22545","Anas","genus","67686","Pleistocene","","2.588","0.0117","5225"
"219526","occ","","","22545","Aythya","genus","83440","Pleistocene","","2.588","0.0117","5225"
"219527","occ","","","22545","Mergus merganser","species","336064","Pleistocene","","2.588","0.0117","5225"
"219528","occ","","","22545","Mergus serrator","species","83462","Pleistocene","","2.588","0.0117","5225"
"219529","occ","","","22545","Mergus","genus","39627","Pleistocene","","2.588","0.0117","5225"
"219530","occ","","","22545","Numenius","genus","83476","Pleistocene","","2.588","0.0117","5225"
"219531","occ","","","22545","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5225"
"219532","occ","","","22545","Branta","genus","83426","Pleistocene","","2.588","0.0117","5225"
"219737","occ","","","22592","Struthio","genus","39278","Messinian","","7.246","5.333","5649"
"219767","occ","","","22593","Struthio","genus","39278","Gelasian","","2.588","1.806","4948"
"219790","occ","","","22595","Struthio","genus","39278","Gelasian","","2.588","1.806","4659"
"219861","occ","","","22627","Struthio","genus","39278","Calabrian","","1.806","0.781","4478"
"219881","occ","","","22628","Struthio","genus","39278","Early Pleistocene","","2.588","0.781","5653"
"219923","occ","","F","22637","Megaloolithus jabalpurensis","species","81782","Early Campanian","Middle Campanian","83.5","70.6","24402"
"219925","occ","","","22638","Ceratopsidae","family","38851","Maastrichtian","","72.1","66","5739"
"219926","occ","","","22638","Hadrosauridae","family","38755","Maastrichtian","","72.1","66","5739"
"219927","occ","","","22638","Saurischia","unranked clade","38505","Maastrichtian","","72.1","66","5739"
"219931","occ","","","22638","Pachycephalosauridae","family","38783","Maastrichtian","","72.1","66","5739"
"219935","occ","","","22640","Ceratopsidae","family","38851","Late Campanian","","83.5","70.6","5723"
