"Boutersemia","Boutersemia",31.15,31.15
"Oceanodroma,"Oceanodroma castro",0.00585,1.29985
"Grallator,"Grallator cuneatus",193.05,214.65
"Gorgosaurus,"Gorgosaurus libratus",77.05,77.85
"Miophasianus","Miophasianus",16.435,16.435
"Colaptes","Colaptes",0.00585,1.29985
"Taohelong,"Taohelong jinchengensis",122.75,122.75
"Gallinula","Gallinula",3.35,3.35
"Anas,"Anas cyanoptera",0.06885,3.35
"Hypacrosaurus,"Hypacrosaurus altispinus",68.3,74.8
"Oohkotokia,"Oohkotokia horneri",77.05,77.05
"Pakisaurus,"Pakisaurus balochistani",69.05,69.05
"Ovaloolithus,"Ovaloolithus utahensis",68.3,69.05
"Anzu,"Anzu wyliei",68.3,68.3
"Aeolosaurini","Aeolosaurini",74.8,88.75
"Tetrapodosaurus","Tetrapodosaurus",97.2,107.15
"Aythya,"Aythya affinis",0.06885,4.4665
"Leshansaurus,"Leshansaurus qianweiensis",160.4,160.4
"Eremopezus,"Eremopezus eocaenus",31.0,31.0
"Threskiornithidae","Threskiornithidae",19.5,39.65
"Passerella,"Passerella iliaca",0.06885,0.06885
"Lesothosaurus,"Lesothosaurus diagnosticus",196.05,196.05
"Procellariidae","Procellariidae",0.00585,51.9
"Miortyx,"Miortyx teres",18.2,18.2
"Komlosaurus,"Komlosaurus carbonis",193.05,198.9
"Titanosaurus,"Titanosaurus indicus",68.3,74.75
"Fulmarus,"Fulmarus miocaenus",14.895,14.895
"Gravitholus,"Gravitholus albertae",77.05,77.05
"Bathornis,"Bathornis fricki",25.615000000000002,25.615000000000002
"Iguanodon,"Iguanodon mantelli",117.0,142.4
"Saturnalia","Saturnalia",232.5,232.5
"Gideonmantellia,"Gideonmantellia amosanjuanae",127.725,127.725
"Tendaguria,"Tendaguria tanzaniensis",148.55,148.55
"Jixiangornis,"Jixiangornis orientalis",123.955,123.955
"Eobucco","Eobucco",56.3,56.3
"Anabernicula,"Anabernicula gracilenta",1.05,3.35
"Archaeovolans,"Archaeovolans repatriatus",119.0,119.0
"Condorraptor,"Condorraptor currumili",164.8,164.8
"Cepphus,"Cepphus columba",0.00585,0.06885
"Iguanodontidae","Iguanodontidae",68.3,187.7
"Megaloolithus,"Megaloolithus jabalpurensis",69.05,78.44999999999999
"Falco,"Falco oregonus",0.06885,0.06885
"Brontopodus,"Brontopodus birdi",106.75,151.15
"Morus,"Morus lompocanus",5.423,12.719999999999999
"Lithornithidae","Lithornithidae",42.900000000000006,44.5
"Pachycorioolithus,"Pachycorioolithus jinyunensis",106.75,106.75
"Judinornis,"Judinornis nogontsavensis",69.05,69.05
"Koreaceratops,"Koreaceratops hwaseongensis",106.75,106.75
"Puffinus,"Puffinus felthami",4.4665,4.4665
"Querquedula,"Querquedula integra",18.2,18.2
"Anhinga,"Anhinga grandis",7.6000000000000005,11.95
"Saurexallopus","Saurexallopus",74.75,77.05
"Rissa,"Rissa tridactyla",0.00585,1.29985
"Primotrogon","Primotrogon",31.0,31.0
"Panphagia,"Panphagia protos",232.5,232.5
"Giganotosaurus","Giganotosaurus",96.55,96.55
"Parvirallus,"Parvirallus gracilis",39.65,44.55
"Tsaagan,"Tsaagan mangas",77.05,77.05
"Anomalopteryx,"Anomalopteryx didiformis",0.00585,1.294
"Goyocephale,"Goyocephale lattimorei",76.15,76.15
"Plastisauropus,"Plastisauropus ingens",196.05,196.05
"Zuniceratops,"Zuniceratops christopheri",91.4,91.4
"Epichirostenotes,"Epichirostenotes curriei",77.05,77.05
"Romainvillia","Romainvillia",31.15,31.15
"Albalophosaurus,"Albalophosaurus yamaguchiorum",136.35000000000002,136.35000000000002
"Nothronychus,"Nothronychus graffami",94.44999999999999,94.44999999999999
"Amphicoelias,"Amphicoelias brontodiplodocus",156.0,156.0
"Pellegrinisaurus,"Pellegrinisaurus powelli",77.05,77.05
"Aethia,"Aethia barnesi",4.4665,4.4665
"Macrodontopteryx,"Macrodontopteryx oweni",44.55,51.9
"Spheroolithus,"Spheroolithus albertensis",77.05,77.85
"Koreanornis,"Koreanornis sinensis",107.4,107.4
"Torosaurus,"Torosaurus latus",69.05,69.05
"Aardonyx,"Aardonyx celestae",196.05,196.05
"Plesiohadros,"Plesiohadros djadokhtaensis",78.19999999999999,78.19999999999999
"Kayentapus,"Kayentapus hailiutuensis",187.7,187.7
"Herrerasaurus,"Herrerasaurus ischigualastensis",218.25,232.5
"Confuciusornis,"Confuciusornis sanctus",126.22999999999999,126.22999999999999
"Megaloolithidae","Megaloolithidae",68.3,147.9
"Urubitinga,"Urubitinga enecta",18.2,18.2
"Calonectris","Calonectris",4.4665,12.719999999999999
"Zuolong,"Zuolong salleei",160.4,160.4
"Pelecanoides","Pelecanoides",0.06885,0.06885
"Mergus,"Mergus serrator",0.00585,4.4665
"Chunga","Chunga",4.4665,5.4
"Velociraptorichnus,"Velociraptorichnus sichuanensis",107.4,114.95
"Strigiformes","Strigiformes",0.00585,48.25
"Velociraptor,"Velociraptor mongoliensis",74.8,86.69999999999999
"Cinclosoma,"Cinclosoma punctatum",0.00585,0.00585
"Stemec,"Stemec suntokum",25.565,25.565
"Anas,"Anas crecca",0.063,3.35
"Mancalla","Mancalla",0.06885,6.2895
"Hadrogyps,"Hadrogyps aigialeus",14.895,14.895
"Grallator,"Grallator maximus",204.9,204.9
"Spheniscus,"Spheniscus megaramphus",6.2895,13.789000000000001
